area,decoration,elevator,flood,follow_number,location,look_number,orientation,pub_duration,room,title,total_price,unit,unit_price,xiaoqu
63,简装,有电梯,中楼层(共30层)2003年建塔楼,10,布吉关,30,南,20天以前,2室1厅,业主诚意出售，满两年，看房方便,275,万,单价43651元/平米,百合星城一期 
54.2,精装,无电梯,中楼层(共8层)1999年建板塔结合,10,布吉关,6,西北,12天以前,2室2厅,华润万象汇旁中楼层看花园户型方正居家舒适两房,243.8,万,单价44982元/平米,加洲花园 
121,精装,有电梯,高楼层(共32层)2013年建塔楼,9,蛇口,15,东,2个月以前,3室2厅,海境界精装修大三房，满五年，红本在手，节省购房成本,1450,万,单价119835元/平米,海境界家园一期 
88.79,精装,无电梯,高楼层(共7层)1996年建板塔结合,11,布心,1,南,9个月以前,3室2厅,松泉山庄 品质三房  双阳台 诚心卖,420,万,单价47303元/平米,松泉山庄 
92.02,精装,无电梯,高楼层(共7层)1997年建板塔结合,62,前海,24,南 北,1个月以前,3室1厅,前海自贸区 大新地铁口 前海花园方正实用三房,568,万,单价61726元/平米,前海花园 
184.59,毛坯,有电梯,中楼层(共46层)2016年建板楼,10,华侨城,13,南,4个月以前,4室2厅,高层视野开阔，客厅出阳台，明厨明卫采光好,2000,万,单价108349元/平米,香山美墅三期 
46.3,简装,无电梯,中楼层(共7层)2000年建板塔结合,31,西乡,14,东南,9天以前,2室1厅,75区商住楼 2室1厅 220万,220,万,单价47517元/平米,75区商住楼 
65.65,精装,有电梯,中楼层(共32层)2013年建板塔结合,1,黄贝岭,3,南,1个月以前,2室1厅,合正荣悦 实用2房  红本在手 朝南,565,万,单价86063元/平米,合正荣悦 
143,精装,无电梯,中楼层(共4层)2009年建板塔结合,33,碧海,13,东南 南,3个月以前,4室2厅,泰华阳光海精装修4，看房很方便，上学很方便,848,万,单价59301元/平米,泰华阳光海小区 
73.91,简装,有电梯,中楼层(共28层)2011年建板塔结合,16,龙岗双龙,30,北,3个月以前,2室1厅,龙岗双龙八仙岭公园旁精装两房业主急卖,252,万,单价34096元/平米,怡龙枫景园 
64.3,精装,有电梯,中楼层(共33层)2004年建板塔结合,13,南山中心,12,西南,8天以前,2室2厅,现代城华庭 精装两房 业主诚心出售 满五唯一,485,万,单价75428元/平米,现代城华庭 
74.96,精装,无电梯,中楼层(共7层)2004年建板塔结合,13,前海,1,南,8天以前,2室2厅,前海花园大两房 朝南 看花园 满二年 有红本,538,万,单价71772元/平米,前海花园 
95.87,精装,有电梯,中楼层(共28层)1993年建板塔结合,6,后海,21,西北,10个月以前,3室1厅,首付150万即可入住 9号线南油地铁口三房 满五年红本,510,万,单价53198元/平米,海晖大厦 
123.24,精装,有电梯,中楼层(共28层)1993年建板塔结合,34,华侨城,5,南,6个月以前,3室2厅,东方花园高楼层安静看湖景三房 安静大社区 车位充足,735,万,单价59640元/平米,东方花园桂花苑 
66.36,精装,无电梯,低楼层(共6层)2006年建板楼,31,布吉石芽岭,25,南,21天以前,2室2厅,布吉石芽岭中海怡瑞厅出阳台2房出售满五唯一红本,256,万,单价38578元/平米,中海怡瑞山居 
41.34,精装,有电梯,中楼层(共32层)2009年建板塔结合,38,南山中心,19,西南 东北,1个月以前,2室1厅,地铁口精装东向小两房，看花园，业主诚意出售，满两年,350,万,单价84664元/平米,南光城市花园 
65.42,简装,无电梯,中楼层(共8层)1990年建板楼,20,蛇口,12,南,6天以前,2室1厅,地铁口居家两房 满五红本 户型方正采光好,380,万,单价58087元/平米,南水小区 
85.58,简装,有电梯,低楼层(共28层)2012年建板塔结合,82,西乡,8,西南,8个月以前,3室2厅,入户带20平露台 三房两卫 红本在手 看房方便,549,万,单价64151元/平米,合正汇一城 
78.82,精装,有电梯,高楼层(共27层)2016年建板楼,49,福永,27,西 西北,2个月以前,3室2厅,央企中粮物业带精致简欧装修保养好拎包入住,405,万,单价51383元/平米,中粮凤凰里 
67.45,简装,有电梯,高楼层(共24层)2002年建塔楼,20,布心,20,南,1个月以前,2室2厅,水贝地铁口 IBC Mall旁 花园小区 人车分流,365,万,单价54115元/平米,太阳新城 
78.61,精装,有电梯,高楼层(共16层)2007年建塔楼,25,龙华新区,24,东北,1个月以前,2室2厅,世纪春城三期，花园中间，安静舒适，业主诚心卖。,370,万,单价47068元/平米,世纪春城三期 
111.56,精装,有电梯,低楼层(共32层)2007年建板塔结合,88,宝安中心,20,东南,4个月以前,3室2厅,低总价  双地铁物业，低楼层 朝南 双出阳台可做四房,960,万,单价86053元/平米,宏发领域 
33.35,简装,有电梯,中楼层(共31层)2003年建板塔结合,11,梅林,3,北,22天以前,1室0厅,海康大厦大单间大阳台视野采光好满四年业主诚心卖,190,万,单价56972元/平米,海康大厦 
43.63,精装,有电梯,高楼层(共30层)2005年建板塔结合,25,石厦,30,西北,2个月以前,2室1厅,高楼层  视野开阔  地铁口物业,430,万,单价98557元/平米,绿洲丰和 
72.2,精装,有电梯,高楼层(共25层)2007年建板塔结合,70,东门,16,南 北,10天以前,3室1厅,南塘新上房源 位置好 老街地铁口 低单价 低总价,295,万,单价40859元/平米,南塘物业小区 
89.37,精装,有电梯,中楼层(共34层)2008年建塔楼,73,西丽,84,南,3个月以前,3室2厅,桃源村三期，优质安静南向三房，车位充足，配套完善,568,万,单价63557元/平米,桃源村三期 
91.42,简装,有电梯,高楼层(共34层)2008年建塔楼,62,西丽,50,南,4个月以前,3室2厅,南北通3房，高楼层，视野好，人车分流小区，随时看房,560,万,单价61256元/平米,桃源村三期 
66.7,精装,无电梯,中楼层(共8层)1994年建板塔结合,34,西乡,58,西北,17天以前,3室1厅,306万买精装三房！中间楼层通风采光好，流塘站你懂得,306,万,单价45878元/平米,嘉华花园西区 
89.07,毛坯,有电梯,低楼层(共33层)2016年建板楼,17,碧海,24,南,1个月以前,3室2厅,满五唯一，朝南看花园看海，居家安静，业主急卖,555,万,单价62311元/平米,幸福港湾一期 
107.07,简装,有电梯,高楼层(共15层)2003年建板塔结合,62,龙岗中心城,6,南,一年前,2室2厅,龙岗区，吉祥来花园大2房，业主诚心出售。,300,万,单价28020元/平米,吉祥来花园 
37.48,精装,有电梯,低楼层(共35层)2006年建板塔结合,29,春风路,24,北,3个月以前,1室1厅,联城美园 精装修 一房一厅 地铁口物业,197,万,单价52562元/平米,联城美园 
92.07,简装,无电梯,中楼层(共6层)2004年建板楼,47,龙华中心,11,南 北,一年前,3室2厅,优品建筑 满两年精致三房，中楼层 采光好 不临街 南北,395,万,单价42903元/平米,优品建筑 
100.2,精装,有电梯,低楼层(共25层)2002年建板塔结合,7,石厦,16,东南,2个月以前,3室2厅,红本在手，交易快，出行便利，配套完善，购物快捷。,600,万,单价59881元/平米,众孚大厦 
72.9,简装,无电梯,低楼层(共8层)1996年建板塔结合,16,龙华新区,26,南,1个月以前,2室2厅,小区中间位置，中间楼层，朝南向，费用少。,320,万,单价43896元/平米,丰润花园 
82.38,精装,有电梯,中楼层(共33层)2014年建塔楼,19,蛇口,14,南,1个月以前,3室1厅,蛇口东角头地铁二手房满五年唯一住房带电梯,760,万,单价92256元/平米,栖游家园 
44.76,精装,有电梯,中楼层(共18层)2000年建板塔结合,43,八卦岭,21,北,16天以前,1室1厅,双地铁口loft一房一厅，满五年唯一免个税，诚心出售,260,万,单价58088元/平米,旭飞花园 
99.82,简装,有电梯,高楼层(共18层)2007年建板塔结合,42,宝安中心,18,东北,4个月以前,4室1厅,壹方城旁 顶楼复式 菁英趣庭朝花园4房,768,万,单价76939元/平米,菁英趣庭 
69.93,精装,有电梯,中楼层(共11层)2003年建板塔结合,61,丹竹头,97,北,2个月以前,2室2厅,丹竹头康桥二期-满五唯一红本税费少-看花园安静,285,万,单价40756元/平米,中城康桥花园二期 
32.12,精装,有电梯,低楼层(共21层)2004年建板塔结合,22,宝安中心,19,东,16天以前,1室1厅,双地铁复式实用一房 可做2+1房 业主诚心急售,313,万,单价97448元/平米,富通好旺角一期 
93.79,简装,有电梯,低楼层(共29层)2006年建塔楼,17,南头,50,北,2个月以前,4室1厅,缤纷年华少有在售4房户型，满5唯一，税低，看公园,950,万,单价101291元/平米,缤纷年华 
28.57,简装,有电梯,中楼层(共7层)1989年建板塔结合,5,科技园,4,北,13天以前,1室0厅,泰阳硅谷公寓 满五唯一 红本在手 空置 带装修,216,万,单价75604元/平米,泰阳硅谷公寓 
109.22,简装,无电梯,中楼层(共6层)2004年建板楼,6,龙华新区,13,东南,31天以前,3室2厅,置换好房 锦绣江南中间位置大三房 满五红本 户型方正,500,万,单价45780元/平米,锦绣江南二期 
80.09,精装,有电梯,高楼层(共33层)2003年建板塔结合,109,西乡,41,东北,2个月以前,3室2厅,业主带装修出售实用三房 楼层好 拎包入住 省心 省事,446,万,单价55688元/平米,泰华明珠 
111.23,精装,有电梯,中楼层(共16层)2002年建板塔结合,195,前海,31,北,一年前,3室1厅,星海名城二期 地铁口房源 住家气氛浓厚,695,万,单价62484元/平米,星海名城二期八组团 
93.22,简装,有电梯,高楼层(共20层)2003年建塔楼,29,西丽,28,西北,3个月以前,3室2厅,地铁7号线 桃源村大社区 温馨三居 业主诚心出售,495,万,单价53101元/平米,桃源村二期 
86.01,精装,有电梯,低楼层(共18层)2003年建板塔结合,13,莲塘,36,南,1个月以前,3室2厅,名骏豪庭 朝南三房 客厅出阳台 红本税费少 看房方便,460,万,单价53483元/平米,名骏豪庭 
67.61,简装,无电梯,中楼层(共8层)2000年建板塔结合,78,西乡,13,东南,9个月以前,2室2厅,地铁口物业，舒适两房，配套齐全,350,万,单价51768元/平米,雅涛花园 
76.55,精装,有电梯,低楼层(共17层)2005年建板塔结合,356,翻身,63,东北,8个月以前,2室2厅,近壹方城！体育馆旁精装2房！满五年，只有一套税费少,385,万,单价50294元/平米,兴业华庭 
39.2,简装,无电梯,中楼层(共7层)1993年建板楼,23,科技园,19,北,一年前,1室1厅,南山科技园 南外文华旁 总价低,420,万,单价107143元/平米,科技园三十四区 
70.48,精装,无电梯,高楼层(共7层)1997年建板楼,45,西丽,52,西南,1个月以前,3室1厅,精装修安静三房，中间楼层，拎包入住,435,万,单价61720元/平米,桃源村一期 
95.07,毛坯,有电梯,中楼层(共40层)2017年建塔楼,31,宝安中心,36,东北,10个月以前,3室2厅,鸿荣源物业 地铁口  生活休闲配套齐全,1150,万,单价120964元/平米,鸿荣源·壹方中心|玖誉 
68.78,精装,有电梯,高楼层(共23层)2002年建板塔结合,6,布心,4,南,13天以前,2室1厅,"：
精装2房户型，全方位采光，很实用客厅跟房间都很大",320,万,单价46526元/平米,彩世界家园 
42.96,精装,有电梯,中楼层(共17层)2004年建板塔结合,25,龙华新区,35,东北,1个月以前,1室1厅,高楼层朝花园精装，满两年税费少，看房方便,190,万,单价44228元/平米,苹果园 
44.09,精装,有电梯,低楼层(共17层)2002年建板塔结合,55,莲塘,19,南,8个月以前,2室1厅,一改二，小两房，精装修，自住方便看房。,223,万,单价50579元/平米,聚福花园 
35.08,精装,无电梯,高楼层(共6层)1993年建板塔结合,25,上下沙,19,南,3个月以前,1室0厅,此房满五年唯一 大金沙改造 小户型总价低 上沙地铁口,180,万,单价51312元/平米,金地花园 
89.76,精装,有电梯,高楼层(共33层)2011年建塔楼,11,红山,12,南,1个月以前,3室2厅,满五年唯一红本，业主自住，看花园，位置安静,665,万,单价74087元/平米,莱蒙水榭春天三期 
97.13,精装,有电梯,低楼层(共23层)2005年建板楼,36,布吉关,31,东,7个月以前,3室2厅,可园三房二卫好房，满五年，带大阳台，采光好,428,万,单价44065元/平米,佳兆业可园二期 
65.68,简装,有电梯,中楼层(共32层)2002年建板塔结合,3,沙头角,12,东,1个月以前,2室2厅,盐田沙头角碧海蓝天名苑满五年带空中花园楼下沃尔玛,310,万,单价47199元/平米,碧海蓝天名苑 
77.59,精装,有电梯,低楼层(共12层)2001年建塔楼,65,西乡,41,西南,1个月以前,2室2厅,富瑰园电梯2房 15年的装修 自住 保养好 花园中间,390,万,单价50265元/平米,富瑰园 
74.51,精装,有电梯,中楼层(共24层)2012年建塔楼,16,龙岗中心城,18,南,1个月以前,3室2厅,万科翰邻城 深中物业 满5年唯一房产 业主诚心卖,420,万,单价56369元/平米,万科翰邻城 
41.64,精装,有电梯,20层2003年建塔楼,12,南山中心,14,北,9天以前,1室1厅,好来居 地铁11号线 经典小复式 红本在手满五唯一,320,万,单价76850元/平米,好来居 
98.29,简装,无电梯,中楼层(共6层)2004年建板塔结合,21,横岗,9,东南,31天以前,3室1厅,此房满五，红本在手，户型实用，位置安静，低价诚售,345,万,单价35101元/平米,中海怡美山庄 
160.62,精装,有电梯,高楼层(共46层)2016年建板塔结合,16,蛇口,10,东南,15天以前,4室2厅,半岛三期高层海景房，这不止是居家更是度假,2360,万,单价146931元/平米,半岛城邦花园三期 
77.88,精装,有电梯,低楼层(共32层)2012年建板塔结合,32,西乡,23,东南,2个月以前,2室1厅,西乡地铁口天虹楼上客厅出阳台花园社区大两房,493,万,单价63303元/平米,合正汇一城 
77.01,简装,无电梯,低楼层(共8层)1984年建板楼,7,园岭,15,南 北,22天以前,2室2厅,公司房源，集体出售，看房方便，价格低廉，随时可签,545,万,单价70771元/平米,园岭新村 
37.95,简装,有电梯,中楼层(共32层)2002年建板塔结合,86,南山中心,77,北,3个月以前,1室1厅,房子高楼层，采光条件好，交通便利，生活配套齐,268,万,单价70620元/平米,万象新园 
54.77,简装,无电梯,低楼层(共9层)1999年建板塔结合,37,布吉水径,70,东,2个月以前,2室1厅,精装2房，朝东，采光通风好，业主诚意出售，看房方便,192,万,单价35056元/平米,丽湖花园二期 
62.93,简装,无电梯,高楼层(共8层)1998年建板塔结合,71,清水河,27,北,1个月以前,2室1厅,龙园山庄，满五年红本在手，户型方正，采光通好,245,万,单价38933元/平米,龙园山庄 
37.49,简装,有电梯,中楼层(共24层)1994年建塔楼,10,八卦岭,26,西南,26天以前,1室0厅,红本在手满两年 高楼层  地铁口物业 户型方正,175,万,单价46680元/平米,鹏益花园 
50.95,精装,有电梯,中楼层(共41层)2005年建板塔结合,22,万象城,4,南,1个月以前,1室1厅,万象城旁城市天地中层朝南一房出售。,265,万,单价52012元/平米,城市天地广场 
48,简装,有电梯,低楼层(共23层)2011年建塔楼,18,大运新城,16,西南,2个月以前,1室1厅,优质的一房一厅保养好中间楼层诚意卖,206,万,单价42917元/平米,中海康城国际一期 
69.37,精装,有电梯,低楼层(共22层)2011年建塔楼,20,新安,18,东南,1个月以前,3室1厅,东南向温馨三房，采光通风好，使用率高，住家安静。,440,万,单价63428元/平米,品尚居 
147.41,简装,有电梯,低楼层(共32层)2013年建板塔结合,21,宝安中心,14,南 北,3个月以前,4室2厅,南北通透 大四方 居家型 2012年次新房,1065,万,单价72248元/平米,幸福海岸三期 
46.55,精装,无电梯,中楼层(共8层)1999年建板塔结合,26,布吉街,34,北,1个月以前,2室1厅,中间楼层采光好，保养好，看房方便业主自己赎楼税费少,178,万,单价38239元/平米,又一村花园 
76.58,简装,有电梯,中楼层(共17层)2005年建板塔结合,42,梅林,64,东南,2个月以前,2室2厅,给入户花园，可以做三房，南向看远景,558,万,单价72865元/平米,翰岭院 
35.04,简装,无电梯,中楼层(共7层)1991年建板塔结合,1,翠竹,1,西南 南,14天以前,1室1厅,位于水贝珠宝商圈，田贝地铁口小户型总价低，楼层好,315,万,单价89898元/平米,愉天小区 
162.26,精装,有电梯,高楼层(共32层)2010年建板塔结合,89,华侨城,9,南 北,7个月以前,4室2厅,香山里花园 视野开阔 四房 居住舒适,1218,万,单价75065元/平米,香山里 
90.87,精装,有电梯,低楼层(共11层)2005年建板塔结合,37,布吉街,21,南,2个月以前,3室2厅,阳光花园4期 朝南看花园 客厅出大阳台 诚心出售,338,万,单价37196元/平米,阳光花园 
71.05,简装,无电梯,高楼层(共6层)1989年建板楼,16,华侨城,19,南 北,9个月以前,2室2厅,此房满五年 红本在手 业主诚心出售 看房方便,490,万,单价68966元/平米,光华街住宅区 
78.79,精装,有电梯,中楼层(共18层)2012年建板塔结合,19,龙岗中心城,18,南,1个月以前,2室1厅,满五唯一..业主诚心出售.带精装修,305,万,单价38711元/平米,喜福汇 
68.67,简装,有电梯,中楼层(共32层)2003年建板塔结合,22,皇岗,4,北,9天以前,2室1厅,舒适2房，客厅带大阳台，得房率高，交通便利,405,万,单价58978元/平米,星河华居 
64.76,简装,有电梯,中楼层(共31层)2003年建板塔结合,77,南山中心,22,西,2个月以前,2室1厅,时代骄子大厦标准两房户型，满五唯一，少量欠款、,410,万,单价63311元/平米,时代骄子大厦 
79.04,精装,无电梯,高楼层(共8层)1995年建板楼,14,科技园,77,南,1个月以前,2室2厅,科技园带拆迁，凯丽花园精装大二房，税费少，业主急卖,535,万,单价67688元/平米,凯丽花园 
67.06,简装,无电梯,高楼层(共7层)1985年建板楼,7,竹子林,6,南,6个月以前,2室1厅,此房满五年唯一税少，户型方正，中间楼层采光通风好,680,万,单价101402元/平米,竹园小区 
31.3,精装,有电梯,低楼层(共7层)1992年建板楼,0,科技园,49,北,17天以前,1室0厅,南山科技园，文华部小户型，经典小户型，业主诚意出售,388,万,单价123962元/平米,博客公寓 
107.16,精装,有电梯,中楼层(共11层)2004年建板塔结合,2,布吉街,4,东南,13天以前,3室1厅,阳光花园 3室1厅 440万,440,万,单价41061元/平米,阳光花园 
79.12,精装,有电梯,低楼层(共33层)2016年建板塔结合,20,公明,3,东南,1个月以前,3室2厅,东南朝向正规3房阳台看花园安静,350,万,单价44237元/平米,光明1号 
100.99,简装,无电梯,高楼层(共7层)1996年建板塔结合,76,华侨城,6,南,4个月以前,3室2厅,嘿！停下看一看喽 （好房哦）业主自住3房2卫 通透,588,万,单价58224元/平米,世界花园 
78.48,精装,无电梯,高楼层(共5层)2001年建板塔结合,42,横岗,8,东南,2个月以前,2室2厅,城市中花园十四号线 2+2房 采光好 无遮挡,290,万,单价36953元/平米,卓越城市中心花园 
24.11,精装,有电梯,中楼层(共29层)2005年建塔楼,60,螺岭,30,南,一年前,1室0厅,此房总价低，户型方正，交通便利，配套齐,172,万,单价71340元/平米,东门168 
53.2,简装,无电梯,中楼层(共8层)1999年建板塔结合,152,布吉水径,56,西北,一年前,2室1厅,此房中间楼层，装修好，看小区花园,194,万,单价36467元/平米,丽湖花园二期 
96.63,精装,有电梯,中楼层(共13层)1999年建板塔结合,29,南山中心,11,南,2个月以前,3室2厅,学府花园厅出阳台朝正南大3房，一手业主诚售，满5年,680,万,单价70372元/平米,学府花园 
92,精装,有电梯,低楼层(共16层)2003年建板塔结合,4,沙头角,24,东南,1个月以前,3室2厅,一线海景社区，东南向3房，刚需必看房源，钥匙即看！,480,万,单价52174元/平米,东埔海景花园二期 
64.48,精装,有电梯,中楼层(共9层)2006年建板塔结合,19,科技园,16,南,3个月以前,2室1厅,总价低，配套好，出行方便，科技园别墅小区,690,万,单价107010元/平米,城市山谷三期 
74.9,精装,有电梯,中楼层(共34层)2011年建板塔结合,13,梅林关,6,西南,15天以前,3室2厅,万科金域华府 地铁口三房 红本在手 保养好 业主诚售,680,万,单价90788元/平米,万科金域华府 
36.35,精装,有电梯,中楼层(共30层)2005年建塔楼,8,石厦,25,北,1个月以前,1室0厅,房子方正实用，看房子方便，总价低,235,万,单价64650元/平米,南方国际广场 
36.18,精装,有电梯,中楼层(共30层)2005年建塔楼,15,石厦,26,南,2个月以前,1室0厅,满2年税费低  地理位置优越 办公住家均可,225,万,单价62190元/平米,南方国际广场 
42.36,精装,有电梯,高楼层(共31层)2002年建板塔结合,1,华强北,26,北,1个月以前,1室1厅,都会100红本小户型，孟母无需三迁！生意家庭两不误！,380,万,单价89708元/平米,都会100 
69.4,精装,有电梯,低楼层(共30层)2011年建塔楼,17,大运新城,50,西北,2个月以前,2室1厅,大运新城  中海客厅出阳台看花园，新装修两房诚意售卖,288,万,单价41499元/平米,中海康城国际一期 
63.6,简装,无电梯,中楼层(共7层)1992年建板塔结合,5,新安,14,东南,30天以前,2室1厅,安华35区商住楼 2室1厅 330万,330,万,单价51887元/平米,安华35区商住楼 
127.22,精装,有电梯,高楼层(共29层)2009年建板塔结合,33,梅林关,26,南,7个月以前,4室2厅,溪山美地园四房一手业主红本在手费用少诚心出售,685,万,单价53844元/平米,溪山 
75,精装,有电梯,中楼层(共26层)2011年建板塔结合,10,龙岗双龙,18,北,15天以前,2室2厅,怡龙枫景园 双龙地铁站 满五唯一税费少 业主自住,260,万,单价34667元/平米,怡龙枫景园 
83.85,简装,有电梯,低楼层(共32层)2004年建塔楼,40,福田中心,19,东北,一年前,2室1厅,福田Cocopark 城中雅苑 小花园安静户型 *三房,695,万,单价82887元/平米,城中雅苑 
146.92,简装,有电梯,中楼层(共22层)2002年建塔楼,15,前海,15,东南,19天以前,4室2厅,东南向4+1房 阳光棕榈园 看花园和泳池 高楼层 税少,990,万,单价67384元/平米,阳光棕榈园一期 
88.5,精装,有电梯,中楼层(共28层)1995年建板塔结合,6,螺岭,8,西北,14天以前,3室1厅,店长推荐：螺岭精装修三房，税费少，中间楼层，总价低,455,万,单价51413元/平米,华丽花园 
86.32,简装,有电梯,中楼层(共34层)2003年建板塔结合,44,皇岗,67,北,10个月以前,3室2厅,皇御苑二期  看花园   安静高层  看房方便,565,万,单价65455元/平米,皇御苑二期 
88.42,精装,有电梯,高楼层(共29层)2013年建板楼,19,红山,34,西南,6个月以前,3室2厅,品质社区优享三房，中高楼层视野好,663,万,单价74984元/平米,绿景公馆1866北区 
25.83,精装,有电梯,低楼层(共33层)2004年建板塔结合,26,螺岭,6,西,7个月以前,1室0厅,花园小区 儿童公园  居家安静 封闭式管理 人车分流,195,万,单价75494元/平米,缤纷时代家园 
111.45,简装,有电梯,低楼层(共30层)2004年建塔楼,57,南山中心,3,东南,一年前,4室1厅,东南向，景色优美 看深圳湾 看深大文山湖,850,万,单价76268元/平米,西海明珠花园 
87.9,精装,无电梯,中楼层(共8层)2000年建板塔结合,8,新安,7,东南,2个月以前,3室1厅,宝安新安雅景居三房一卫东南向高楼层通风采光佳,450,万,单价51195元/平米,雅景居 
114.22,简装,有电梯,中楼层(共34层)2000年建板塔结合,2,翠竹,6,北,1个月以前,4室1厅,金丽豪苑  双地铁口物业。满二税费少,630,万,单价55157元/平米,金丽豪苑 
148.58,精装,有电梯,高楼层(共32层)2008年建板塔结合,21,坂田,33,东南,1个月以前,4室1厅,万科城四期逸湖居，精装修4+1房，高楼层，看房方便,750,万,单价50478元/平米,万科城四期 
